City,census_name,State,state_full,fips_code,Country,uuid,Year,Community Survey - Network,Community Survey - Awareness,Community Survey - Safety,Community Survey - Ridership,Community Score - Total,"Community Score - Total, Rounded",Community Survey - Responses,BNA - neighborhoods,BNA - opportunity_employment,BNA - opportunity_k12_education,BNA - opportunity_technical_vocational_college,BNA - opportunity_higher_education,BNA - opportunity,BNA - essential_services_doctors,BNA - essential_services_dentists,BNA - essential_services_hospitals,BNA - essential_services_pharmacies,BNA - essential_services_grocery,BNA - essential_services_social_services,BNA - essential_services,BNA - retail,BNA - recreation_parks,BNA - recreation_trails,BNA - recreation_community_centers,BNA - recreation,BNA - transit,BNA - overall_score,total_low_stress_miles,total_high_stress_miles,city_ratings_total,city_ratings_rounded,population,rank_country,pop_size,rank_country_size,rank_state_size,speed_limit,region,latitude,longitude
Merrick,Merrick CDP,NY,New York,3646668,United States,24ab1407-8177-4a33-abc1-477a718c1cb9,2021,43.572,18.572,41.072,66.37,42.3965,42,35,3.77,2.41,9.21,0,0,5.81,0.42,0,0,0,0,0,0.11,13.32,7.36,0,0,7.36,0.28,4.89,0.7,150.1,12.3913,12,20130,643,small,291,15,30,Mid-Atlantic,40.6516365,-73.5519267
Durham,Durham city,NC,North Carolina,3719000,United States,243b7486-64b6-4aa0-bda0-747f818ba65c,2021,50.49,50.218,43.434,70.746,53.722,54,119,18.98,13.33,17.79,6.76,22.16,16,13.39,13.16,12.38,8.27,16.6,5.43,12.26,16.99,36.66,17.77,9.91,23.36,0.61,14.64,624.9,2131.9,22.4564,22,269702,417,medium,185,3,35,South,35.9811488,-78.9029252
Juneau,Juneau city and borough,AK,Alaska,236400,United States,23cfa571-69e2-41c4-8c18-aeed5367fc26,2021,52.47,50.308,40.51,81.712,56.25,56,27,55.01,34.98,40.74,0,16.05,33.01,16.85,6.31,68.68,41.81,34.24,21.21,33.66,2.65,43.94,66.12,0,54.29,25.49,33.95,240.4,88.9,38.41,38,32227,126,small,59,1,25,Pacific,58.3729099,-134.1784454
Bellevue,Bellevue city,WA,Washington,5305210,United States,23a844ba-5953-4fa5-9c8f-89b344f44a9a,2021,52.064,45.834,45.178,72.56,53.909,54,105,31.96,19.49,51.28,19.18,4.34,27.56,25.88,33.62,7.49,13.03,33.38,30.91,24.32,33.48,65.19,28.65,27.06,42.87,13.59,28.66,917.7,299.4,33.7098,34,144403,192,medium,82,6,25,Pacific,47.5978371,-122.1564797
Toronto,,ON,Ontario,,Canada,23175ff8-1c83-475e-9344-f9f398dd7982,2021,57.05,65,45.8,78.6,61.65,62,292,23.19,,58.17,14.19,24.81,41.57,44.27,48.11,20.76,52.87,56.18,40.62,43.24,61.82,68.28,19.65,30.55,41.83,30.09,40,,,43.98,44,2731571,15,large,8,3,31,Canada,43.6532,-79.3832
Arvada,Arvada city,CO,Colorado,803455,United States,226cb72b-cc24-4352-a5ef-628fb2b9c706,2021,53.916,53.414,44.504,79.042,57.719,58,83,12.02,9.31,19.96,5.37,0,10.78,1.21,5.28,0,2.25,9.74,12.24,5.27,5.7,37.92,11.91,2.52,19.97,3.21,9.35,318.7,935.1,19.0238,19,118746,501,medium,224,11,30,Mountain,39.8337279,-105.1503061
South Burlington,South Burlington city,VT,Vermont,5066175,United States,21dfeb10-6c79-4702-af77-078ed272eddc,2021,59.936,39.808,39.904,82.372,55.505,56,26,38.55,33.37,40.39,4.73,25.69,31.43,37.12,33.38,35.63,38.53,43.39,45.12,39.36,31.07,59.3,50.06,26.66,47.91,23.76,35.35,238.8,73.3,39.381,39,19162,113,small,52,5,25,New England,44.4502368,-73.276946
Dallas,Dallas city,TX,Texas,4819000,United States,2152065a-33b9-43e1-a5b9-f16225e17a9f,2021,44.864,44.248,43.616,71.832,51.14,51,511,9.01,4.36,11.03,4.81,2.7,6.41,3.39,2.96,2.99,3.07,7.09,3.99,4.25,15.31,14.14,5.96,3.02,8.5,2.83,7.48,569.1,8372.4,16.212,16,1330612,565,large,64,5,30,South,32.7933334,-96.7665128
Fairfax,Fairfax city,VA,Virginia,5126496,United States,20c47e6a-8b02-4132-b95a-993c44c4c18e,2021,47.186,46.678,42.532,67.126,50.8805,51,77,37.04,40.05,62.65,0,53.77,51.89,42.66,23.91,36.05,37.05,61.32,5.04,37.92,61.35,72.35,42.31,19.33,48.58,40.48,46.08,179.8,39.5,47.0401,47,23531,57,small,34,1,25,South,38.8531833,-77.2990252
Colorado Springs,Colorado Springs city,CO,Colorado,816000,United States,20b1ba4e-7de1-4669-b3a0-f5dd4ff07bf0,2021,52.434,69.946,45.072,82.192,62.411,62,137,34.84,25.83,50.54,25.33,20.72,33.41,21.25,23.68,21.81,20.8,19.45,23.45,21.44,37.87,62.48,50.35,19.97,47.61,34.66,34.22,3971.3,996.8,39.8582,40,464871,110,large,15,2,25,Mountain,38.8672553,-104.760749
Yorktown,Yorktown CDP,VA,Virginia,5188240,United States,1fb2b7b2-e15d-4c65-a39f-5249deab2146,2021,33.586,35.202,41.098,67.046,44.233,44,33,25.19,45.54,25.83,0,0,27.76,0,0,0,0,0,0,,0,46.47,0,0,46.47,0,32.6,5.6,8.9,34.9266,35,317,176,small,79,5,25,South,37.2340154,-76.5182017
Falls Church,Falls Church city,VA,Virginia,5127200,United States,1f9a147e-6345-4db2-82de-ab5d3822e889,2021,59.83,45.022,44.552,69.23,54.6585,55,39,32.14,44.57,62.25,0,2.63,42.13,24.3,57.56,24.11,59.79,63.15,50.45,44.77,47.51,72.24,72.86,49.67,66.81,0,39.35,61.5,18.8,42.4117,42,14128,82,small,43,2,25,South,38.884722,-77.1756027
Berkeley,Berkeley city,CA,California,606000,United States,1f8f15f5-47fd-4528-821e-687a5566b114,2021,66.026,63.548,45.432,79.808,63.7035,64,78,68.31,66.1,78.36,73.05,75.57,72.98,65.95,66.52,62.31,67.45,79.18,70.44,69.41,78.65,80.17,49.77,69.66,66.9,64.87,70.29,371.1,111.5,68.9727,69,121485,5,medium,1,1,25,Pacific,37.8669717,-122.2991474
Moreland,,VIC,Victoria,,Australia,1f3cf887-f3f4-4b3a-b8f9-2f56ebe1efce,2021,52.81,37.4,45.8,74.2,52.55,53,80,18.23,,45.41,7.92,22.46,32.9,31.56,21.41,18.06,26.59,45.12,28.57,30.29,51.7,65.31,31.34,24.4,43.19,28.45,34,172.2,673.1,37.606,38,162558,15,medium,8,4,31,Australia,-37.7241,144.9502
Unley,,SA,South Australia,,Australia,1f3a02b6-19d6-4b51-aca4-4a5718019d5b,2021,47.32,41,44.6,82,53.75,54,28,36.38,,60.14,38.87,31.18,48.26,10.68,30.73,32.98,54,59.13,37.87,37.67,32.91,71.27,60.03,13.18,52.81,34.77,41,201,34.6,43.326,43,37721,9,small,6,2,25,Australia,-34.9502,138.6074
Marquette,Marquette city,MI,Michigan,2651900,United States,1f13d2ef-efdf-4b45-89c7-fbe9d655eeae,2021,65.74,69.49,40.278,87.848,65.839,66,36,69.65,72.55,65.58,0,83.16,72.2,69.59,60.62,76.06,54.21,65.55,65.79,66.87,14.48,74.91,94.37,0,83.99,50.73,60.64,290.4,72.3,61.6798,62,20822,13,small,9,3,25,Midwest,46.5506978,-87.3958333
