city,state,state_full,country,region,year,census_fips_code,census_population,census_latitude,census_longitude,residential_speed_limit,bna_id,bna_uuid,bna_people,bna_opportunity_employment,bna_opportunity_k12_education,bna_opportunity_technical_vocational_college,bna_opportunity_higher_education,bna_opportunity,bna_core_services_doctors,bna_core_services_dentists,bna_core_services_hospitals,bna_core_services_pharmacies,bna_core_services_grocery,bna_core_services_social_services,bna_core_services,bna_retail,bna_recreation_parks,bna_recreation_trails,bna_recreation_community_centers,bna_recreation,bna_transit,bna_overall_score,bna_rounded_score,bna_total_low_stress_miles,bna_total_high_stress_miles,pop_size,rank,rank_size,rank_state,rank_country,rank_country_size,creation_date,filename
Boucherville,QC,Quebec,Canada,Canada,2023,9900113,41743,45.5914,-73.4364,25,6de0ba98-af38-4c0e-a263-e520e13f7b9e,90eb33ae-7fc3-4c75-886a-230e73b540a5,74.21,0,73.13,32.4,0,64.08,65.76,43.63,0,69.23,81.19,75.75,56.1,83.84,85.78,89.74,66.5,82.35,68.28,70.34,70,360.9,120.5,small,,,,,,2023-04-14T08:23:00Z,QC_Boucherville_v23.1.csv
Brampton,ON,Ontario,Canada,Canada,2019,9900088,656480,43.6843,-79.7587,31,31ae9be4-6674-475c-9dd6-de9ac1167b6d,c76dd93e-da15-4bba-9fda-58fa4e9bf0ad,38.3,0,63.93,21.22,8.18,40.8,40.8,45.17,21.82,47.56,57.75,4.65,36.93,65.2,73.06,42.88,21.75,49.67,25.58,42.36,42,296.5,2219.9,large,,,,,,2019-05-08T12:30:00Z,ON_Brampton_v19.1.csv
Brampton,ON,Ontario,Canada,Canada,2021,9900088,656480,43.6843,-79.7587,31,31ae9be4-6674-475c-9dd6-de9ac1167b6d,5a82b90b-92b8-4295-918f-06944b41d70b,38.78,0,64.42,14.9,7.13,39.81,45.36,51.4,21.23,52.69,60.4,45.25,45.61,66.52,73.32,45.31,24.39,51.28,25.62,44.41,44,354.5,2249.7,large,,,,,,2021-03-25T15:04:00Z,ON_Brampton_v21.1.csv
Brampton,ON,Ontario,Canada,Canada,2023,9900088,656480,43.6843,-79.7587,31,31ae9be4-6674-475c-9dd6-de9ac1167b6d,763e71a7-baa7-43ee-a639-92bed155fee2,39.26,0,63.44,15.57,7.06,38.73,42.85,53.32,21.08,52.76,61.6,44.53,45.47,64.76,73,42.43,25.4,50.4,25.3,43.8,44,477.4,2251.5,large,,,,,,2023-04-12T16:10:00Z,ON_Brampton_v23.1.csv
Brampton,ON,Ontario,Canada,Canada,2022,9900088,656480,43.6843,-79.7587,31,31ae9be4-6674-475c-9dd6-de9ac1167b6d,0bc685b2-854d-4d27-9d1a-f5c5182a3df4,39.17,0,62.49,16.17,7.33,38.99,43.9,51.31,21.08,52.35,59.69,43.18,44.76,65.12,72.69,48.07,20.59,51.05,23.44,43.57,44,395.5,2259.6,large,,,,,,2022-03-28T16:08:00Z,ON_Brampton_v22.1.csv
Brampton,ON,Ontario,Canada,Canada,2020,9900088,656480,43.6843,-79.7587,31,31ae9be4-6674-475c-9dd6-de9ac1167b6d,a9c731ff-306c-45d9-8d23-8eb446325969,38.05,0,63.81,11.97,7.13,39.03,43.84,50.7,21.23,51.72,58.79,29.32,42.35,66.1,73.17,43.21,21.81,49.84,24.23,43.01,43,302.3,2270.2,large,,,,,,2020-03-30T12:57:00Z,ON_Brampton_v20.1.csv
Brandon,MB,Manitoba,Canada,Canada,2023,9900077,51313,49.8485,-99.9501,31,c6d5ee2c-8826-4ccd-80d9-8dd4f7c9407c,a1caf27d-2e58-4e8b-841f-d2ab72bd9f5d,39.99,0,52.28,19.82,9.53,34.13,0,8.97,17.51,15.31,45.43,41.67,29.42,34.89,72.14,51.99,31.08,54.82,11.06,33.82,34,120.7,416.7,medium,,,,,,2023-04-13T08:23:00Z,MB_Brandon_v23.1.csv
Brandon,MB,Manitoba,Canada,Canada,2022,9900077,51313,49.8485,-99.9501,31,c6d5ee2c-8826-4ccd-80d9-8dd4f7c9407c,b96b7094-bfd7-4569-9c9a-ab38c37a28cd,42.13,0,62.68,31.59,9.53,42.07,0,8.97,17.51,15.31,47.14,42.68,30.15,26.53,71.73,51.99,24.39,52.99,11.06,34.35,34,120.6,416.8,medium,,,,,,2022-03-28T16:07:00Z,MB_Brandon_v22.1.csv
Brandon,MB,Manitoba,Canada,Canada,2021,9900077,48859,49.8485,-99.9501,31,c6d5ee2c-8826-4ccd-80d9-8dd4f7c9407c,fd783435-cf43-458a-8120-c592bf4ce634,41.67,0,56.53,0,9.36,39.88,0,9.49,22.53,15.43,27.61,46.06,26.01,33.06,71.99,56.86,24.99,54.94,10.52,34.21,34,83.9,421.1,small,,,,,,2021-03-24T12:25:00Z,MB_Brandon_v21.1.csv
Bromont,QC,Quebec,Canada,Canada,2023,9900114,11357,45.2852,-72.6872,25,f5542a97-0e65-44e7-9323-4dd9f2079d2e,f521d8a4-cdbe-4124-94ff-16d6f2b24823,86.44,0,79.82,0,0,79.82,88.98,100,0,100,94.4,0,94.46,92.77,92.95,84.2,86.51,88.28,77.37,86.59,87,378.5,100.3,small,,,,,,2023-04-12T15:08:00Z,QC_Bromont_v23.1.csv
Burlington,ON,Ontario,Canada,Canada,2023,9900089,186948,43.3255,-79.799,31,029dc478-3b56-4551-96b4-bb14566808b8,0e63dfe9-0939-4b85-b27d-3100563b763c,42.8,0,56.45,0,24.33,44.77,37.46,49.28,13.13,54.47,60.05,50.01,43.01,67.48,73.5,47.68,11.98,49.08,22.09,44.77,45,285.4,953.5,medium,,,,,,2023-04-13T12:29:00Z,ON_Burlington_v23.1.csv
Burnaby,BC,British Columbia,Canada,Canada,2021,9900060,232755,49.2488,-122.9805,31,7d10343d-f0b7-46a2-a198-e6448c4adeb5,0de019ed-f784-4617-b195-8d47651d6efb,26.79,0,49.77,15.59,22.18,36.37,31.31,36.91,12.72,44.24,55.13,20.03,33.71,57.68,70.92,37.59,33.86,49.99,42.89,40.62,41,363.7,810.6,medium,,,,,,2021-03-24T12:25:00Z,BC_Burnaby_v21.1.csv
Burnaby,BC,British Columbia,Canada,Canada,2022,9900060,249125,49.2488,-122.9805,31,7d10343d-f0b7-46a2-a198-e6448c4adeb5,511837df-3553-414a-8a24-8c2ecdbf14b0,25.86,0,51.33,24.46,22.74,38.72,41.35,46.68,19.42,45.42,50.29,44.03,40.54,58.85,71.68,33.27,40.79,50.51,41.27,42.33,42,413.5,813.5,medium,,,,,,2022-03-28T16:07:00Z,BC_Burnaby_v22.1.csv
Burnaby,BC,British Columbia,Canada,Canada,2023,9900060,249125,49.2488,-122.9805,31,7d10343d-f0b7-46a2-a198-e6448c4adeb5,21469d8a-0493-45dd-ac16-a97c124d926a,27.84,0,54.38,27.36,25.12,41.22,47.94,51.09,19.42,49.23,52.82,48.29,43.95,60.46,72.28,32.31,43.06,50.99,41.76,44.19,44,434.6,821.2,medium,,,,,,2023-04-13T08:24:00Z,BC_Burnaby_v23.1.csv
Calgary,AB,Alberta,Canada,Canada,2022,9900054,1306784,51.0447,-114.0719,25,4f374ae8-09cf-4f81-aa1e-902cc879da7d,935b4939-e1f0-4585-a7dd-6378fc1df993,53.76,0,69.51,0,41.82,56.35,56.35,48.77,44.76,57.14,74.53,52.35,57.3,69.8,78.77,68.94,46.79,67.33,49.34,57.59,58,0,0,large,,,,,,2022-03-29T09:55:00Z,AB_Calgary_v22.1.csv
Calgary,AB,Alberta,Canada,Canada,2021,9900054,1239220,51.0447,-114.0719,25,4f374ae8-09cf-4f81-aa1e-902cc879da7d,f8d53e2f-a569-48d9-a068-3caaf6c4aed0,54.08,0,71.93,35.12,40.02,56.84,57.2,49.73,46.27,59.97,74.39,56.18,58.69,69.65,78.93,67.58,48.47,67.34,50.11,59.28,59,6205,2378.1,large,,,,,,2021-03-24T12:26:00Z,AB_Calgary_v21.1.csv
Calgary,AB,Alberta,Canada,Canada,2023,9900054,1306784,51.0447,-114.0719,25,4f374ae8-09cf-4f81-aa1e-902cc879da7d,ba202f0e-5840-421a-9bd7-ad4e10d7ccb0,54.24,0,70.61,39.09,43.18,57.32,56.48,53.22,46.31,57.81,75.61,51.7,58.32,73.93,78.99,70.5,47.82,68.23,50.08,60.1,60,6583.1,2497.9,large,,,,,,2023-04-12T15:31:00Z,AB_Calgary_v23.1.csv
Calgary,AB,Alberta,Canada,Canada,2019,9900054,1239220,51.0447,-114.0719,31,4f374ae8-09cf-4f81-aa1e-902cc879da7d,9907676a-2ed9-4481-8166-0d2a83fabc57,36.96,0,57.83,18.91,27.66,42.94,37.53,34.48,27.67,41.3,56.17,38.55,40.44,56.41,74.57,43.1,29.48,52.28,36.86,44.05,44,2033.9,6105.1,large,,,,,,2019-05-08T12:47:00Z,AB_Calgary_v19.1.csv
Calgary,AB,Alberta,Canada,Canada,2020,9900054,1239220,51.0447,-114.0719,31,4f374ae8-09cf-4f81-aa1e-902cc879da7d,160e21e6-347b-483e-b4c8-f6c11b7cdb3f,37.27,0,59.19,19.33,26.82,43.5,40.62,36.27,27.33,43,57.04,39.11,41.64,57.07,74.68,44.1,31.34,53.14,36.16,44.57,45,2144.2,6215.6,large,,,,,,2020-03-30T11:26:00Z,AB_Calgary_v20.1.csv
